species,Afloramento_rochoso,Caatinga,Campinarana,Campo_Rupestre,Campo_de_Varzea,Carrasco,Cerrado,Floresta_Ciliar,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Ombrofila,Floresta_Ombrofila_Mista,Floresta_de_Terra_Firme,Floresta_de_Varzea,Restinga,Savana_Amazonica
albicans,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1
alborufescens,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
amnicola,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
argyrophylla,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
atlantica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
baumgratziana,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
budlejoides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
burchellii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
castaneiflora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chrysophylla,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
cinerascens,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
cipoensis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
corallina,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
cowanii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cubatanensis,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
cyathanthera,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
dichrophylla,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
discolor,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
dispar,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
fallax,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
fasciculata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ferruginata,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
flammea,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
formosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
heliotropoides,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hyemalis,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
hypoleuca,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
kollmannii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lepidota,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
longispicata,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
lourteigiana,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
lymanii,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
macrothyrsa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
macuxi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
mayarae,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
multispicata,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
navioensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
octopetala,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
penduliflora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pepericarpa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
petroniana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
polyandra,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pterocaulon,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
punctata,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
racemifera,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rondoniensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rufescens,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ruficalyx,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ruschiana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sclerophylla,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
secundiflora,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
serialis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
shepherdii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stenostachya,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
suberosa,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
tiliifolia,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
valtheri,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
willdenowii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
