species,barcode,collector_number,plant_height_m,leaf_length_cm,leaf_width_cm,leaf_sla,inflorescence_length_cm,inflorescence_width_cm,fruit_weight_mg,fruit_height_mm,fruit_length_mm,fruit_width_mm,seed_number,seed_weight_mg,seed_height_mm,seed_length_mm,seed_width_mm
albicans,upcb0015814,Grava_04,na,6.0,3.0,4.4,7.0,4.5,6.0,3.4,2.97,3.64,15,0.4,1.20,1.03,1.26
albicans,upcb0029734,Nunes_upcb0029734,na,9.1,3.8,5.5,11.0,8.0,13.0,4.0,2.17,4,19,0.68,1.24,1.07,0.86
albicans,upcb0015802,Sobral_10209,4.5,11.5,4.5,5.2,10.5,6.5,13.0,3.1,3.81,3.89,20,0.65,1.20,0.98,1.02
albicans,upcb0031843,Silva_3025,2.5,12.5,6.0,11.4,9.0,5.0,18.0,4.3,5.4,5.9,24,0.75,1.13,0.59,1.06
alborufescens,upcb0032071,Martinelli_18844,4.8,8.0,4.5,3.7,4.5,3.0,10.0,2.8,2.74,3.34,15,0.67,1.27,0.82,0.71
alborufescens,upcb0016680,Pirani_sn,1.3,6.1,4.6,4.8,3.4,2.6,10.0,2.4,3.4,3.37,10,1.00,1.35,0.77,0.96
amnicola,ny03241423,McDaniel_25790,6,10.0,2.5,9.0,10.5,6.5,16.0,4.0,2.73,4.75,16,1.00,1.36,0.84,0.97
amnicola,ny03241422,Rimachi_10915,2,13.0,4.2,11.0,14.0,8.0,24.0,4.0,3.91,4.2,29,0.83,1.33,0.94,1.23
amnicola,ny01539047,Zuleta_225,15,11.5,3.8,7.2,15.0,7.0,310.0,3.4,4.89,4.82,15,20.67,2.18,1.12,1.07
argyrophylla,upcb0016548,Goldenberg_1927,5,17.0,10.2,10.5,8.1,5.4,23.0,4.3,4.7,4.44,15,1.53,1.94,1.79,1.41
argyrophylla,ny03697928,Vasquez_26239,7,15.0,6.2,6.9,11.0,6.5,21.0,3.5,3.08,4.33,26,0.81,1.13,1.18,0.87
argyrophylla,ny00987108,Rosa_1619,3,14.0,7.5,7.3,6.5,5.5,36.0,4.0,4.81,4.77,35,1.03,1.89,1.38,1.67
argyrophylla,ny1653306,Claire_447,na,16.5,8.5,6.0,11.0,3.5,12.0,3.1,3.51,3.57,30,0.40,0.84,0.78,0.83
atlantica,ny1738447,Caddah_866,4,13.0,4.5,11.2,8.5,7.0,20.0,3.5,3.69,3.67,3,6.67,2.56,1.55,2.40
atlantica,ny02647874,Braga_1257,3,19.0,6.0,13.8,6.0,4.5,40.0,4.8,4.24,4.41,4,10.00,3.83,2.22,2.78
baumgratziana,upcb0016666,Souza_33527,2,11.3,4.5,7.5,14.5,6.5,9.0,2.6,1.91,2.22,3,3.00,1.62,1.01,1.43
baumgratziana,upcb0016660,Almeda_9738,5,11.5,3.0,8.7,13.0,10.5,6.0,2.7,2.07,2.65,7,0.86,1.24,0.79,0.94
budlejoides,flor0055948,Bandeira_212,8,15.8,5.4,11.0,9.1,5.8,25.0,3.7,3.65,3.66,11,2.27,1.86,1.17,1.64
budlejoides,upcb0016735,Matos_208,3,12.7,4.5,13.5,6.0,3.6,27.0,5.3,2.36,4.74,10,2.70,1.64,1.3,1.15
budlejoides,upcb0016754,Goldenberg_2131,8,19.7,6.5,13.2,10.5,7.8,32.0,4.0,3.63,4.39,16,2.00,1.69,0.91,0.97
budlejoides,upcb0016758,Kollmann_12227,6,12.2,3.5,10.5,3.4,2.3,25.0,3.3,3.38,3.55,10,2.50,1.48,1.07,1.31
burchellii,ny00916910,Munhoz_2,5,7.0,3.5,4.8,10.0,5.5,21.0,3.1,3.81,3.93,68,0.31,1.15,0.69,0.92
burchellii,ny01795754,Labiak_5728,1,10.0,4.5,5.0,8.0,5.5,13.0,3.2,3.88,4.02,35,0.37,0.88,0.53,0.70
burchellii,ny00748865,Anderson_7394,3.5,6.7,2.3,7.7,6.5,5.5,12.0,1.9,3.71,3.69,32,0.38,1.09,0.67,0.67
castaneiflora,ny04218421,Almeda_9783,4,21.0,11.1,16.9,13.5,12.0,13.0,2.7,3.21,3.59,6,2.17,2.23,1.38,1.83
castaneiflora,ny01462497,Caddah_447,3,14.5,8.1,18.7,11.0,12.0,4.0,2.4,2.31,2.26,1,4.00,1.58,1.17,1.58
chrysophylla,ny00987281,Amaral_76,6,10.0,2.5,11.0,9.0,7.5,5.0,2.5,2.82,2.96,4,1.25,1.87,0.97,1.42
chrysophylla,ny01796310,Prance_8487,12,8.5,2.6,9.1,6.0,9.0,10.0,3.1,1.9,3.32,3,3.33,2.04,1.39,1.39
chrysophylla,ny00755181,Ehringhaus_594,10,10.5,3.0,10.0,11.5,12.0,8.0,2.9,3.28,3.36,3,2.67,2.17,1.13,1.54
chrysophylla,ny00916992,Berg_p18509,5,13.5,4.0,13.7,8.0,6.5,5.0,2.6,2.9,2.95,5,1.00,1.44,0.72,1.30
chrysophylla,ny00987308,Silva_25155,3,15.5,4.5,9.3,10.0,4.0,12.0,3.0,3.42,3.52,4,3.00,2.41,1.44,2.11
chrysophylla,ny1599089,Solomon_14803,10,14.7,2.8,9.8,7.5,5.5,8.0,2.7,3.56,3.52,3,2.67,2.00,1.14,2.21
chrysophylla,ny03270890,Lanjouw_1272,10,13.0,3.0,8.2,12.0,3.0,9.0,2.7,3.24,3.25,5,1.80,2.25,1.01,1.36
cinerascens,flor0000800,Reitz_14887,2,6.0,3.4,10.0,11.0,7.4,28.0,3.7,4.36,3.67,6,4.67,2.68,1.79,1.53
cinerascens,flor0005123,Sohn_25,na,9.0,5.0,12.0,13.8,10.0,26.0,3.3,4.24,4.35,8,3.25,2.77,1.44,1.89
cinerascens,flor????,Wasum_743,na,9.0,3.5,12.6,11.8,7.4,20.0,3.2,3.09,3.62,6,3.33,1.83,1.95,1.26
cinerascens,flor0008796,Falkenberg_1353,3,14.0,8.0,11.0,13.0,7.0,34.0,4.0,4.57,4.68,12,2.83,1.52,1.13,1.02
cinerascens,flor0019567,Sobral_2223,1.2,10.0,5.0,12.0,11.2,9.7,16.0,3.4,3.71,3.79,8,2.00,2.22,1.21,1.84
cinerascens,flor0015824,Falkenberg_3399,4,9.7,4.1,9.4,17.5,8.8,27.0,3.9,4.58,4.16,19,1.42,1.90,1.46,1.21
cipoensis,ny04218309,Almeda_8606,1.5,4.0,1.5,7.7,5.5,5.0,3.0,2.5,2.17,2.54,5,0.60,1.62,0.9,1.07
corallina,flor21728,Falkenberg_5440,2,15.0,7.6,6.9,12.6,5.6,3.0,2.3,1.41,2.42,3,1.00,1.69,1.02,1.50
corallina,ny01145602,Groppo_661,2,19.0,11.0,7.4,19.0,9.0,10.0,2.3,2.59,2.75,3,3.33,2.11,1.25,1.69
corallina,ny00917016,Anderson_8661,0.8,11.0,4.5,6.0,11.0,9.0,5.0,2.3,2.1,2.13,2,2.50,1.61,0.75,1.59
corallina,ny00917018,Irwin_29464,2,11.0,5.7,4.8,8.0,9.5,6.0,2.9,1.92,2,2,3.00,2.11,1.5,1.58
corallina,ny00917003,Riedel_ny00917003,na,13.0,5.5,4.9,15.0,6.0,5.0,2.5,2.08,2.34,2,2.50,1.83,1.12,1.49
cowanii,ny00987361,Santos_220,5,20.0,4.3,19.0,17.5,13.5,23.0,3.4,3.94,4.04,11,2.09,2.26,1.05,1.59
cowanii,ny00987360,Daly_4035a,3,13.0,4.5,7.5,17.0,14.5,18.0,4.5,2.65,4.72,5,3.60,2.57,1.31,1.82
cubatanensis,flor0056040,Cordeiro_1316,2.8,5.0,1.5,10.9,6.1,3.3,19.0,4.2,2.85,4.31,3,6.33,2.33,1.56,2.45
cubatanensis,flor0042681,Arzolla_207,5,7.5,2.3,15.8,5.9,4.3,18.0,3.0,4.05,4.03,10,1.80,2.14,1.35,1.42
cubatanensis,flor0009398,Falkenberg_2546,2,6.5,1.6,11.4,na,na,21.0,2.5,4.31,4.24,1,21.00,2.44,1.59,2.11
cubatanensis,flor0027308,Silva_1349,4,6.2,2.5,10.3,5.1,4.7,31.0,3.8,3.29,4.6,3,10.33,3.01,1.86,2.50
cubatanensis,flor0029280,Santos_94,4,5.8,1.5,10.7,4.4,2.3,26.0,3.8,4.02,4.33,5,5.20,2.84,1.45,1.93
cubatanensis,flor0015813,Falkenberg_3436,2,5.8,1.6,9.0,2.9,2.3,17.0,3.6,3.3,4.39,3,5.67,2.66,1.88,2.46
