i,lambda0,lambda1,mu0,mu1,q01,q10,p
1,1,0.250383432225077,0.479205683649786,0.0103701495611971,0.00486252324655871,0.00746726710328616,0.551479134817088,-173.647476416523
2,2,0.269855280813419,0.472951040486286,0.185549185279674,0.0165477393808389,0.0340133912400179,0.208014300164994,-171.344023834441
3,3,0.333689871930748,0.609126274770138,0.122137511801244,0.137210112093254,0.0323171231564751,0.272891391311973,-168.649090557756
4,4,0.299122940380513,0.668352462224365,0.154289145663698,0.142966972765407,0.0131198399621482,0.340582864454097,-168.465813249505
5,5,0.267063764260922,0.669004831268605,0.0889937895777063,0.153024662649886,0.0349518358994948,0.170399963227377,-169.910427521141
6,6,0.272085234211103,0.596033818582812,0.0891021599117289,0.0438935674242371,0.0237164282473924,0.34495619601388,-167.531064054521
7,7,0.304361025587987,0.679321868961008,0.156289083018954,0.192991582730138,0.00196441511019666,0.353242668799348,-168.859727103445
8,8,0.309330508077232,0.739528399943128,0.118733675050287,0.210859765821974,0.0034780990463329,0.120120573483068,-171.458262445152
9,9,0.231218281685449,0.762214921143439,0.0748410889393542,0.50064445913854,0.0102233866035714,0.193949318292763,-169.74017863512
10,10,0.234502130931614,0.88580803565811,0.0209065590352899,0.528353733284802,0.0226762633780748,0.171754397861341,-169.345948560329
11,11,0.250582720261036,0.872203785242464,0.0413671085182369,0.467752828489578,0.00938784849782861,0.179331683760016,-168.760381066764
12,12,0.261113438127715,0.849354559603453,0.107402995802434,0.41902917906999,0.0292465928964462,0.166759456845888,-170.730576622487
13,13,0.308081293637216,0.653145764819939,0.0370799425221739,0.366428325207128,0.0375355695557954,0.321133867757813,-171.578654768655
14,14,0.230878671716378,0.914263931527446,0.1600452430232,0.332486136514827,0.073537347250376,0.37837700463329,-173.623018354349
15,15,0.233502114924967,0.891351986198029,0.149557456430439,0.439026414516027,0.0807603903707084,0.345700839078265,-173.232978511984
16,16,0.34689461189412,0.895412613412544,0.158566287640442,0.465647285122241,0.0362501484028753,0.139255544490647,-173.119093161661
17,17,0.291459782405443,0.926303249376204,0.190839837557367,0.701215181944126,0.0423706498875709,0.140080174360339,-174.883879321158
18,18,0.48058662589164,0.889193462367815,0.29828969036056,0.3006798575529,0.01837805344663,0.0921854024358859,-176.785463240073
19,19,0.439391603194937,0.665507761110456,0.112917521192057,0.0176790737713455,0.0205157542413942,0.16138569097958,-171.648384896499
