i,lambda1,mu1,q01,q10,p
1,1,0.369893178275693,0.0354995671621398,0.0679593882850196,0.327028823264436,-172.685501874136
2,2,0.367293198058736,0.0379159538481173,0.00744734060940828,0.311083950822557,-171.73377711466
3,3,0.341601449941996,0.031069443640807,0.014422294775562,0.201381770506825,-171.494275592295
4,4,0.375033797110313,0.0461112649460763,0.0500058265306745,0.179201506832765,-171.521816945621
5,5,0.386389031626472,0.0238094247814287,0.000472830921546331,0.218519670579514,-170.392288723841
6,6,0.383217552789942,0.0523471618476586,0.00266066133780006,0.217920903493426,-170.891225351398
7,7,0.321847136550264,0.0557432717969565,0.00581562603237159,0.222956342140601,-172.352663200492
8,8,0.314354056965228,0.0266314596490942,0.000565499118297187,0.19739474101096,-171.581520636127
9,9,0.437515309620394,0.124017907802274,0.0503002734805485,0.14710807890704,-173.007592840967
10,10,0.3740195580598,0.0526999330041109,0.0283617515009709,0.352167636483602,-173.122639301854
11,11,0.355267612907096,0.0234269682751563,0.0655536434858883,0.0965825932820703,-173.17339071015
12,12,0.380094030839532,0.0322498618927867,0.0541757517047818,0.0962617107368581,-172.746419549549
13,13,0.374733830714229,0.0152805178769025,0.0506818970018092,0.222529221680146,-171.131745431836
14,14,0.355860112518214,0.015578572116967,0.0500416893454434,0.314178234473127,-171.99601335037
15,15,0.362337116465629,0.0544666480724897,0.0596495623402797,0.369259507379643,-173.797386600545
16,16,0.419191204887642,0.0707555275423463,0.0461504926441731,0.215619563663033,-172.016211880812
17,17,0.388752161781493,0.12678009737992,0.0483704087366556,0.107352931186276,-174.165192118396
18,18,0.405845867775383,0.0895413607002731,0.0487384682109948,0.369995381347097,-174.162666303493
19,19,0.428399364211594,0.0735710154449962,0.0511644336660466,0.36171266977843,-173.916897199203
20,20,0.479611262696083,0.0679640650676053,0.0227835410826702,0.355698208505513,-174.86116195076
21,21,0.331205264260843,0.0512694374106215,0.0791848247527506,0.324505880697968,-173.921446770579
22,22,0.446174199674297,0.0203278714994681,0.0951144542863754,0.247697324233324,-173.739575204526
23,23,0.331175899194214,0.0236773535414866,0.0965790504273464,0.199665513921631,-173.087769431012
24,24,0.308779870739546,0.0147213914489699,0.0946559743946675,0.110890021033028,-175.027844654521
25,25,0.28784158153015,0.00197466978467318,0.0659859181832346,0.379364066554102,-174.691462220727
26,26,0.361502183577232,0.0330451567926407,0.0508772871009835,0.356911878930335,-173.040122482238
27,27,0.368564879697021,0.0672412576077268,0.0358614677731903,0.0967218049996405,-172.989759498355
28,28,0.369523949631856,0.0731463322570012,0.0460981331483925,0.216841822457536,-172.188017447715
29,29,0.34757878104449,0.0036770420607979,0.0413893533799896,0.254155428061143,-171.070445918302
30,30,0.435328126730698,0.0587322076491729,0.0667540600125713,0.16891829278456,-172.645670382959
31,31,0.4437809584088,0.0511631118962326,0.0778102598652819,0.133619349739305,-173.74921636025
32,32,0.461212585443519,0.0796749922134009,0.0281489255959654,0.240244789824981,-172.758044749397
33,33,0.37928021262428,0.0686056857608083,0.0616717122447699,0.22786405832123,-172.279642092104
