"lambda1","mu1","q01","q10"
0.483764162720714,6.44543580896565e-08,0.0402499556564845,0.221735586789431
0.322744252989863,1.94430018695349e-09,6.70559216281149e-09,0.20155895549624
0.487126058051877,4.05335458816758e-06,6.34286237648438e-05,0.302044929188513
0.426286716908308,1.10643895098787e-05,2.34958304433514e-06,0.284986016296855
0.222806597448468,2.98347878528463e-08,0.0246815682319653,0.11079872317364
0.295641838219561,1.46295205472241e-08,8.33719850513849e-08,0.203305409866528
0.403853108474838,2.47798446090548e-08,1.45956783499637e-08,0.246483182859725
0.355386628233948,1.32423337159075e-08,0.0378507342740584,0.159714094558395
0.261802962169822,5.18700107938661e-07,2.07502202524286e-06,0.161912567901393
0.389813926863892,2.72574786091818e-09,0.0372304570118242,0.19184222883577
0.35492882615652,2.67554445301173e-08,2.89298328567584e-07,0.240163111117934
0.353422514163948,2.63941738418982e-06,5.15273382623203e-07,0.216617895864386
0.387632735706984,2.49610304536916e-07,0.0353637372989623,0.15481767132689
0.303119499690089,8.39507114117433e-06,7.36893651374215e-07,0.205381365785806
0.396193444062446,5.45812676155412e-09,0.0442561485200333,0.185668566493749
0.390960508111538,6.91581152353503e-06,3.41488334736032e-06,0.25267066473615
0.330958204083578,4.45909268493321e-07,7.42216477801047e-07,0.198097924915258
0.387236743656255,8.90454063902024e-06,5.78604806721455e-06,0.238981904390224
0.326530169010131,6.69776853207808e-05,6.26431203323985e-06,0.202443441764168
0.450760821121671,9.26707266499189e-08,0.0463754301799577,0.207397213688253
0.420369918172519,2.63191759605542e-08,1.18139060776981e-07,0.23740283870817
0.401465760550589,2.41640850086034e-06,1.41627747875143e-06,0.285592371382539
0.39230692521241,4.02706209569857e-06,1.22882656745555e-05,0.251687844473657
0.355616124970953,4.53251414000525e-06,1.39638915706513e-05,0.224938760220808
0.507921831406926,1.09361301781722e-06,0.0550836998765506,0.245924239763472
0.35491282815319,2.26607585308543e-07,2.19691951440959e-06,0.195809206230629
0.309771719066165,1.50388459588007e-06,1.10776213405118e-07,0.21797063597712
0.330952478201548,1.93236608083281e-06,0.0262651562800052,0.148134258265345
0.427232481015192,3.96323556621183e-08,0.0439443234491948,0.20564430767571
0.324774066167435,1.71424743543685e-08,4.82950035259541e-09,0.215968468116727
0.409050479709723,1.73043061650834e-05,2.89934338860303e-06,0.279019962172616
0.35800890517176,1.53028261803129e-07,0.0310755841239847,0.208459616825638
0.408255778959626,4.13017983195058e-07,0.0466314897505012,0.186197010690905
0.392502670704134,1.19806457803262e-06,1.1623100384926e-07,0.243714515038284
0.353436277595015,5.19277207934679e-06,1.02162894872476e-06,0.237116938276801
0.42440308425525,9.83458074994008e-07,8.38888203305722e-09,0.254881341292122
0.355732480725362,1.45022335575751e-06,8.75850155207281e-06,0.21382769085735
0.354235241891741,1.0163359806568e-06,6.96826008474575e-07,0.223126719558503
0.363994214330922,1.05358251704401e-06,0.0351187366942041,0.166934004735012
0.354659666986223,2.35587631552551e-08,0.0387952876559825,0.161550628140211
0.470289410091136,1.07798753302766e-07,1.32562162726249e-06,0.304870380371405
0.40509105087624,1.43207405116691e-05,1.12264280466942e-05,0.242119216873109
0.301844552652456,2.37932846132544e-08,0.00413710519333359,0.173899444644497
0.292627880232366,1.23287064301883e-06,0.0313653170666674,0.130058766785627
0.360964699602736,6.38904299066638e-08,8.90530754642079e-08,0.233162939727913
0.304108834924357,3.34509667214903e-08,0.0258023841167359,0.11724315638647
0.39459779427611,4.76963019124637e-09,0.0332729341508935,0.219878797685694
0.388569790205198,1.22538980878456e-08,2.51547001296561e-08,0.245600626372572
0.307629931630198,2.93409179326806e-09,1.2746017519987e-08,0.190868208126691
0.398596261788814,7.99877380551416e-08,0.0426620612708671,0.177681482266116
0.239085016760782,7.78109882658361e-08,0.0181416925651247,0.104319587262474
0.443527941809335,7.70861898547889e-10,0.0458940278492314,0.217583129768442
0.421192933329785,8.25727491516205e-08,3.2937011490732e-10,0.248556662492243
0.271766953654433,1.40889398813689e-07,0.0295256031740084,0.122781394821358
0.34547746217739,1.3322200335404e-07,0.0304676010795707,0.160603982749814
0.398611493629355,1.10429453161371e-05,1.3563698420291e-06,0.275456830924841
0.306832618639664,2.43722610223953e-08,0.0289822976775103,0.140896231374949
0.398256271540014,7.04781443997743e-05,2.82926935030332e-05,0.264853676130451
0.429014411631648,4.18792521819227e-08,0.0427559217176821,0.244570401768185
0.356411608330957,3.46952493884754e-08,0.0377000609438101,0.164519285405492
0.362171597232418,9.17511628147356e-08,0.000435888850053198,0.233145108734139
0.460323286461781,1.97067482191137e-08,0.0424421568289629,0.23405563608241
0.357750074794109,3.72732570787058e-08,0.0388841431342316,0.173597526266479
0.398507768910701,2.56467248081207e-05,1.69889622426807e-05,0.258092082292435
0.424339501126234,4.94247682749367e-08,0.0546325139661116,0.180460330396961
0.290075619482788,5.7657059976201e-06,9.34655508731431e-06,0.190992203723331
0.335591155679313,3.64379092938975e-08,0.037021627837052,0.150090203840815
0.481944244387231,5.5713417932337e-08,0.0536281455075246,0.236201920944584
0.348609946912855,3.62402403987218e-09,0.0300354832365431,0.191483820626023
0.40034302596434,9.69594603372003e-08,0.0412432597501846,0.192902414661764
0.363766918199496,3.23539028197726e-08,0.00181502829844681,0.216617707673017
0.378389042209633,1.4980487910568e-05,1.00129873975292e-06,0.247037760208476
0.338430484806493,4.42334487803236e-06,1.55507370393391e-06,0.191676246882714
0.34621944790118,7.15715640152258e-06,3.54592252804964e-06,0.250279685327503
0.383684011054028,9.50447454251707e-08,1.55379681191605e-06,0.230429465297468
0.472424735852467,1.95951724900739e-07,0.0481040314179686,0.217553403730706
0.285704822351458,1.06811523437419e-05,3.66299145398134e-06,0.188360355765035
