"lambda0","lambda1","mu0","mu1","q01","q10"
0.314544394357401,0.710438704623146,2.01119920160866e-05,1.81876928993778e-05,1.05029787010546e-08,0.324781693563469
0.209243091022775,0.474764905634869,2.36555276342235e-06,1.29604184487557e-05,1.27498543375302e-06,0.218080065872499
0.319788832362576,0.720348674059522,2.4174715598472e-09,1.19298825270161e-09,9.54088466350901e-09,0.32413504556428
0.261045676224373,0.662914177917836,1.04560502097973e-07,1.45938024005081e-09,3.34297349780713e-08,0.311370760098724
0.137243623695036,0.328355303849463,1.10794254310765e-08,8.73971136277711e-09,6.61504181171598e-07,0.158526280035419
0.174715231559053,0.475920614884989,1.39089533945375e-07,3.04548091222938e-08,4.25612760153212e-09,0.226512181716596
0.266928296403016,0.583522067923306,5.15584372639161e-06,1.72995518628433e-06,5.06599318201503e-09,0.265348943801463
0.237504640299383,0.504307444520116,2.49885988483765e-08,1.71924693569502e-05,2.66583945284738e-06,0.23046539990864
0.170528529051312,0.377417632315504,8.71093329789744e-06,1.48621573340281e-05,9.37964022701307e-09,0.174957634617974
0.239976281864783,0.571097834319365,7.84150646987588e-08,2.07128530378144e-08,5.64046682784253e-09,0.276542544176301
0.211664070393202,0.546130662161794,2.40220336668125e-06,2.79687985280887e-07,6.01000307871556e-07,0.263862354977712
0.234016166920171,0.517354721241725,6.38306870989523e-07,8.07775138218811e-07,6.37794698852729e-08,0.23173016201245
0.269022243343516,0.535976934465623,7.89027149338228e-06,1.92040982581449e-08,1.38775784600643e-07,0.238750003190127
0.185567267934121,0.48285343901465,1.1853334128236e-08,2.33866434454919e-08,1.28471540571557e-06,0.223383880804164
0.252293314853365,0.579535775518683,5.3277538337796e-07,1.07219054555401e-06,4.07703741143147e-10,0.272041615124767
0.235480749499808,0.586318100698114,5.31452407846228e-06,1.15467900219708e-07,4.44554183874842e-10,0.285922196591891
0.220045006083059,0.470534092012221,5.70903477587176e-09,1.44949004738908e-08,1.41977603835768e-07,0.216466667403287
0.253515433811405,0.55647326540713,8.97402973067364e-06,9.60090220882528e-09,7.96378909764439e-07,0.257194965061063
0.208471259198381,0.478496048005793,9.95545105426169e-06,5.97019871992828e-06,1.36597648790284e-08,0.223452650921575
0.27531669857054,0.670323769544878,1.0555737116619e-09,2.54125350573264e-09,2.13957797180698e-09,0.324552923697926
